attack,pair_id,guard_off_present,guard_on_present,prompt_sequence_equal,guard_off_prompt_sha256,guard_on_prompt_sha256,prompt_style,attack_family_label_present,prompt_style_source,original_top_level_prompt_style_available
A03,A03__secure_rag_mode__t1_r001_avocadoel__protected__history1__iteration04,True,True,True,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__protected__history1__iteration05,True,True,True,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__protected__history3__iteration01,True,True,True,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__protected__history3__iteration02,True,True,True,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__protected__history3__iteration03,True,True,True,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__protected__history3__iteration04,True,True,True,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__protected__history3__iteration05,True,True,True,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__protected__history5__iteration01,True,True,True,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__protected__history5__iteration02,True,True,True,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__protected__history5__iteration03,True,True,True,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__protected__history5__iteration04,True,True,True,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__protected__history5__iteration05,True,True,True,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__public__history1__iteration01,True,True,True,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__public__history1__iteration02,True,True,True,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__public__history1__iteration03,True,True,True,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__public__history1__iteration04,True,True,True,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__public__history1__iteration05,True,True,True,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__public__history3__iteration01,True,True,True,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__public__history3__iteration02,True,True,True,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__public__history3__iteration03,True,True,True,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__public__history3__iteration04,True,True,True,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__public__history3__iteration05,True,True,True,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__public__history5__iteration01,True,True,True,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__public__history5__iteration02,True,True,True,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__public__history5__iteration03,True,True,True,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__public__history5__iteration04,True,True,True,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__public__history5__iteration05,True,True,True,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__internal__history1__iteration01,True,True,True,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__internal__history1__iteration02,True,True,True,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__internal__history1__iteration03,True,True,True,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__internal__history1__iteration04,True,True,True,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__internal__history1__iteration05,True,True,True,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__internal__history3__iteration01,True,True,True,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__internal__history3__iteration02,True,True,True,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__internal__history3__iteration03,True,True,True,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__internal__history3__iteration04,True,True,True,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__internal__history3__iteration05,True,True,True,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__internal__history5__iteration01,True,True,True,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__internal__history5__iteration02,True,True,True,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__internal__history5__iteration03,True,True,True,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__internal__history5__iteration04,True,True,True,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__internal__history5__iteration05,True,True,True,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__protected__history1__iteration01,True,True,True,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__protected__history1__iteration02,True,True,True,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__protected__history1__iteration03,True,True,True,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__protected__history1__iteration04,True,True,True,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__protected__history1__iteration05,True,True,True,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__protected__history3__iteration01,True,True,True,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__protected__history3__iteration02,True,True,True,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__protected__history3__iteration03,True,True,True,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__protected__history3__iteration04,True,True,True,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__protected__history3__iteration05,True,True,True,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__protected__history5__iteration01,True,True,True,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__protected__history5__iteration02,True,True,True,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__protected__history5__iteration03,True,True,True,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__protected__history5__iteration04,True,True,True,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__protected__history5__iteration05,True,True,True,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__public__history1__iteration01,True,True,True,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__public__history1__iteration02,True,True,True,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__public__history1__iteration03,True,True,True,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__public__history1__iteration04,True,True,True,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__public__history1__iteration05,True,True,True,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,4364bdc842a3f52f15256124f5fe225c45aa0798cd1b200e44fac2030c674ca0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__public__history3__iteration01,True,True,True,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__public__history3__iteration02,True,True,True,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__public__history3__iteration03,True,True,True,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__public__history3__iteration04,True,True,True,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__public__history3__iteration05,True,True,True,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,9fcb4d13b5758c3de4ad73b922794618c2aca95d6510061f011cddf8a6aeab52,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__public__history5__iteration01,True,True,True,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__public__history5__iteration02,True,True,True,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__public__history5__iteration03,True,True,True,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__public__history5__iteration04,True,True,True,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t2_r002_sonnenblumenoel__public__history5__iteration05,True,True,True,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,1490c7b59cc0827cc1b58c08ae733495405fe152dbd018e088683cff22b5dea0,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t3_r003_panthenol__internal__history1__iteration01,True,True,True,e4d19a4622c8bf3ec95a37c6d0682c09aa9fa0fc8af89c87ea4d7e8dbaf6c3c9,e4d19a4622c8bf3ec95a37c6d0682c09aa9fa0fc8af89c87ea4d7e8dbaf6c3c9,inferred-neutral,False,offline_record_audit,False
